,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
1960,211672,en,Minions,35.062,2015-06-17,6.4,8957,"['Family', 'Animation', 'Adventure', 'Comedy']","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",1156730962,91,"Before Gru, they had a history of bad bosses"
1961,927,en,Gremlins,36.111,1984-06-07,7.1,4957,"['Fantasy', 'Horror', 'Comedy']","When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",153083102,106,"Don't get him wet, keep him out of bright light, and never NEVER feed him after midnight."
1962,184125,en,Assault on Wall Street,31.214,2013-06-30,5.9,370,"['Drama', 'Thriller', 'Action']","Jim is an average New Yorker living a peaceful life with a well paying job and a loving family. Suddenly, everything changes when the economy crashes causing Jim to lose everything. Filled with anger and rage, Jim snaps and goes to extreme lengths to seek revenge for the life taken from him.",0,99,Power. Greed. Justice.
1963,458594,en,Peppermint,32.424,2018-09-06,6.7,1562,"['Action', 'Thriller']","A grieving mother transforms herself into a vigilante following the murders of her husband and daughter, eluding the authorities to deliver her own personal brand of justice.",48818723,102,The system failed. She won't.
1964,19173,es,Diario de una ninfómana,39.706,2008-10-17,5.6,214,"['Drama', 'Romance']","A chronicle of the life of a middle-class French girl's sexual adventures, her then fall into prostitution, and her ultimate redemption.",0,102,
1965,516632,en,The Empty Man,33.251,2020-10-22,6.2,317,"['Horror', 'Mystery', 'Thriller']","Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",4176641,137,The first night you hear him. The second night you see him. The third night he finds you.
1966,129533,en,Barbie: The Princess & The Popstar,40.205,2012-09-13,7.1,437,"['Family', 'Animation']","Tori is a blonde princess who is bored of living her royal life, and has dreams of becoming a popstar. Keira, on the other hand, is a brunette popstar who dreams of being a princess. When the two meet, they magically trade places, but after realising it is best to be themselves.",0,86,True friends rock in perfect harmony!
1967,375588,en,Robin Hood,43.417,2018-11-21,5.9,2369,"['Adventure', 'Action', 'Thriller']",A war-hardened Crusader and his Moorish commander mount an audacious revolt against the corrupt English crown.,86493046,116,The legend you know. The story you don't.
1968,11237,en,Anacondas: The Hunt for the Blood Orchid,35.701,2004-08-26,5.4,685,"['Adventure', 'Action', 'Horror', 'Thriller']","The blood orchid - a rare flower that could hold the secret of eternal life and be worth a fortune to the company that finds it. Led by a pharmaceutical research team, a scientific expedition sets out to explore deep into the jungles of Borneo to locate and bring back samples of the legendary plant. Battling through rainstorms to make their way upriver, the group encounters poisonous insects and a ferocious crocodile, only to discover they're being stalked by an even greater danger: a gathering of giant anacondas! Heat-sensing, fifty-foot-long flesh-eaters that'll go after anyone that crosses their path!",0,96,
1969,716258,en,Black Box,33.593,2020-10-06,6.5,340,"['Horror', 'Science Fiction', 'Thriller']","After losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is.",0,100,There is no escape from who you really are.
